run_id,model,subset,event_availability_mode,n_origins,n_points,horizon,mse,mae,rmse,mape,smape,r2
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,overall,73.9153117035044,6.398194327595237,8.597401450642188,123.01339868596128,56.96806525354551,-0.025235418244968333
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,1,75.40792956065759,6.388297684495224,8.683773923856931,126.50925248900533,57.4174935244185,-0.03899507998119223
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,2,74.25889523301069,6.369051036594541,8.617360108119579,125.13743632481602,57.24584726389153,-0.03984413217382898
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,3,73.73175068710107,6.352398763722702,8.586719436845545,124.79648914261523,57.06895086997213,-0.03737543897576612
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,4,72.76903870519097,6.326778700334452,8.530477050270457,124.58973784867342,56.87719379018695,-0.02896814632080358
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,5,71.8311824012206,6.32218349874474,8.475327863936627,123.88357479012846,56.790222330101834,-0.020047391094138334
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,6,71.74750530496222,6.305200181591014,8.470389914576673,123.99000750733387,56.53357241849588,-0.013835981959960941
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,7,72.13315658433255,6.31574041387142,8.493124076824296,123.74757610008838,56.37978309208786,-0.009768416924551326
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,8,72.98146214379322,6.328448978325397,8.542918830457962,123.70750836578878,56.27451129981962,-0.010744891384937505
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,9,73.44464653052647,6.357980256392885,8.569985211803255,123.57429443056998,56.36517264016181,-0.013557900417956903
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,10,73.38466272498346,6.372956054619839,8.5664848523174,123.43645049302458,56.44539993104337,-0.014293317141553796
