run_id,event_weight,split,model,primary_configuration,mse,mae,rmse,mape,smape,r2
20260827T043457543402Z,0.0,validation,M08_event_timeraf_no_drift,False,35.22669139325197,3.4356655191311485,5.935207780124633,170.14387839941588,31.18191084411746,0.38208166671786936
20260827T043457543402Z,0.0,test,M08_event_timeraf_no_drift,False,40.84195750463065,4.131941637505972,6.390771276194341,66.2014925813952,38.081178007348555,0.43350544807053815
20260827T043457543402Z,0.2,validation,M08_event_timeraf_no_drift,True,35.200556181262854,3.4360556370855564,5.933005661657745,167.10649960708972,31.1673784429445,0.3825401096199291
20260827T043457543402Z,0.2,test,M08_event_timeraf_no_drift,True,41.08516374285365,4.136106848722919,6.409770958689059,65.99437282304812,38.079877679088426,0.4301320786885009
20260827T043457543402Z,0.5,validation,M08_event_timeraf_no_drift,False,35.27779568948928,3.4382946965171794,5.939511401579197,166.52178285726137,31.200957817671377,0.38118523619017675
20260827T043457543402Z,0.5,test,M08_event_timeraf_no_drift,False,40.68981759719058,4.121394337578563,6.378857076090558,65.77149215227736,38.03020873563428,0.43561569042819404
20260827T043457543402Z,0.8,validation,M08_event_timeraf_no_drift,False,35.10992902669409,3.4289165801108195,5.925363197871848,170.55403097556388,31.128642177304535,0.38412981839149896
20260827T043457543402Z,0.8,test,M08_event_timeraf_no_drift,False,40.858045474004136,4.133981718706613,6.392029839886868,66.28681637612921,38.131008979494474,0.43328230139592894
20260827T043457543402Z,1.0,validation,M08_event_timeraf_no_drift,False,35.08092067695974,3.4335433945064464,5.9229148801042,170.20882812960133,31.177316552368456,0.38463865956874754
20260827T043457543402Z,1.0,test,M08_event_timeraf_no_drift,False,40.6203117152564,4.127102599240622,6.373406602065837,66.05986708313037,38.084448995163555,0.4365797652632041
