run_id,site_id,overall_observed_hours,overall_coverage,train_origins,validation_origins,test_origins,selected,reason
20260827T043457543402Z,06-037-1103,34250,0.5581084604354061,17156,6359,1631,True,selected
20260827T043457543402Z,06-037-9033,33753,0.5500097770825185,23212,0,0,False,fewer than minimum origins in a chronological split
20260827T043457543402Z,06-037-4009,31282,0.5097444922435145,11516,5638,1732,True,selected
20260827T043457543402Z,06-037-4004,28345,0.4618856733150828,19796,0,0,False,fewer than minimum origins in a chronological split
20260827T043457543402Z,06-037-4008,24163,0.3937394081606049,14137,0,0,False,fewer than minimum origins in a chronological split
20260827T043457543402Z,06-037-9035,22938,0.37377786468517793,4165,2325,547,True,selected
