run_id,model,subset,event_availability_mode,n_origins,n_points,horizon,mse,mae,rmse,mape,smape,r2
20260827T043457543402Z,C00_hour_month_climatology,all,retrospective_event_start,2460,59040,overall,73.9153117035044,6.398194327595237,8.597401450642188,123.01339868596128,56.96806525354551,-0.025235418244968333
20260827T043457543402Z,C02_calendar_retrieval,all,retrospective_event_start,2460,59040,overall,72.87357197143609,5.814633471976213,8.536601898380649,97.91510613502624,51.02126814546498,-0.010786064717331012
20260827T043457543402Z,C03_event_conditioned_retrieval,all,retrospective_event_start,2460,59040,overall,54.09752536082262,4.909176542587846,7.355101995269856,74.2004414425772,44.761279662801314,0.2496453338139515
20260827T043457543402Z,M00_persistence,all,retrospective_event_start,2460,59040,overall,57.327289802841705,4.839979671457338,7.571478706490675,59.335501289947565,44.28894826871079,0.20484718817629777
20260827T043457543402Z,M01_daily_seasonal,all,retrospective_event_start,2460,59040,overall,64.73169879103251,5.1367276343944805,8.04560120755637,71.27873889090975,45.82325124139538,0.10214502578381068
20260827T043457543402Z,M02_weekly_seasonal,all,retrospective_event_start,2460,59040,overall,118.53771166050902,7.074883982568959,10.887502544684388,127.28153735593952,59.74297838958239,-0.6441662436539737
20260827T043457543402Z,M05_random_retrieval,all,retrospective_event_start,2460,59040,overall,70.09372439226135,5.742324542446153,8.372199495488706,96.9283363978488,50.978214286509804,0.027771551151552165
20260827T043457543402Z,M06_cosine_retrieval,all,retrospective_event_start,2460,59040,overall,53.548612991511355,4.8596969280373,7.317691780302813,73.0065663367985,44.41440213923485,0.2572589714968728
20260827T043457543402Z,M03_xgb_pm25,all,retrospective_event_start,2460,59040,overall,44.54717804829223,4.317432381758002,6.674367239543553,70.0600550788299,39.63971487244405,0.38211253304085524
20260827T043457543402Z,M04_xgb_context,all,retrospective_event_start,2460,59040,overall,42.00565123601177,4.2327002775036355,6.481176686066487,69.55268047057663,38.83625205523503,0.4173645430008649
20260827T043457543402Z,C01_ridge_context,all,retrospective_event_start,2460,59040,overall,39.14447102312167,4.079277517392267,6.256554245199323,64.06977654620468,38.22679648085297,0.45705027555927247
20260827T043457543402Z,C05_lightgbm_context,all,retrospective_event_start,2460,59040,overall,40.08878581560393,4.151402880350471,6.331570564686452,67.91104915561901,38.390883241941935,0.44395224554474777
20260827T043457543402Z,B00_dlinear,all,retrospective_event_start,2460,59040,overall,40.30490794318199,4.097432848710319,6.348614647557527,64.3582041861304,37.83727854623072,0.4409545437864397
20260827T043457543402Z,B02_lstm,all,retrospective_event_start,2460,59040,overall,39.9781718614473,4.094546089016613,6.322829418974333,62.83828336811823,37.479162822251574,0.44548650605099305
20260827T043457543402Z,B01_patchtst,all,retrospective_event_start,2460,59040,overall,40.7662476444119,4.1111217025375915,6.384845154301857,63.20496298749273,38.03169518175887,0.43455557460613337
20260827T043457543402Z,C06_context_ensemble,all,retrospective_event_start,2460,59040,overall,40.11454475365047,4.155515589954857,6.333604404574892,68.31376927181147,38.44120317766557,0.4435949586036112
20260827T043457543402Z,M07_xgb_cosine,all,retrospective_event_start,2460,59040,overall,40.93450011477949,4.156979548182152,6.398007511310024,66.88695809769874,38.296143108646916,0.4322218444512771
