run_id,model,horizon,model_mse,climatology_mse,skill_vs_climatology
20260827T043457543402Z,C00_hour_month_climatology,1,75.40792956065759,75.40792956065759,0.0
20260827T043457543402Z,C00_hour_month_climatology,2,74.25889523301069,74.25889523301069,0.0
20260827T043457543402Z,C00_hour_month_climatology,3,73.73175068710107,73.73175068710107,0.0
20260827T043457543402Z,C00_hour_month_climatology,4,72.76903870519097,72.76903870519097,0.0
20260827T043457543402Z,C00_hour_month_climatology,5,71.8311824012206,71.8311824012206,0.0
20260827T043457543402Z,C00_hour_month_climatology,6,71.74750530496222,71.74750530496222,0.0
20260827T043457543402Z,C00_hour_month_climatology,7,72.13315658433255,72.13315658433255,0.0
20260827T043457543402Z,C00_hour_month_climatology,8,72.98146214379322,72.98146214379322,0.0
20260827T043457543402Z,C00_hour_month_climatology,9,73.44464653052647,73.44464653052647,0.0
20260827T043457543402Z,C00_hour_month_climatology,10,73.38466272498346,73.38466272498346,0.0
20260827T043457543402Z,C00_hour_month_climatology,11,72.29489376241072,72.29489376241072,0.0
20260827T043457543402Z,C00_hour_month_climatology,12,71.78026962888498,71.78026962888498,0.0
20260827T043457543402Z,C00_hour_month_climatology,13,71.95015477127568,71.95015477127568,0.0
20260827T043457543402Z,C00_hour_month_climatology,14,72.7711440703363,72.7711440703363,0.0
20260827T043457543402Z,C00_hour_month_climatology,15,74.14212335220941,74.14212335220941,0.0
20260827T043457543402Z,C00_hour_month_climatology,16,75.32475104655654,75.32475104655654,0.0
20260827T043457543402Z,C00_hour_month_climatology,17,76.21281222775809,76.21281222775809,0.0
20260827T043457543402Z,C00_hour_month_climatology,18,76.67292463242012,76.67292463242012,0.0
20260827T043457543402Z,C00_hour_month_climatology,19,76.87074222671528,76.87074222671528,0.0
20260827T043457543402Z,C00_hour_month_climatology,20,76.69896888622593,76.69896888622593,0.0
20260827T043457543402Z,C00_hour_month_climatology,21,76.26200644536749,76.26200644536749,0.0
20260827T043457543402Z,C00_hour_month_climatology,22,75.21150580613595,75.21150580613595,0.0
20260827T043457543402Z,C00_hour_month_climatology,23,73.87431844661157,73.87431844661157,0.0
20260827T043457543402Z,C00_hour_month_climatology,24,72.21063570541858,72.21063570541858,0.0
20260827T043457543402Z,C02_calendar_retrieval,1,63.349254047053726,75.40792956065759,0.1599125660107662
20260827T043457543402Z,C02_calendar_retrieval,2,60.4028231893504,74.25889523301069,0.18659141103813215
20260827T043457543402Z,C02_calendar_retrieval,3,61.16224677872764,73.73175068710107,0.17047613533164607
20260827T043457543402Z,C02_calendar_retrieval,4,62.06327265680523,72.76903870519097,0.14711979488636617
20260827T043457543402Z,C02_calendar_retrieval,5,66.06594442525665,71.8311824012206,0.08026093659104228
20260827T043457543402Z,C02_calendar_retrieval,6,77.58800232307216,71.74750530496222,-0.0814034856443433
20260827T043457543402Z,C02_calendar_retrieval,7,88.13198951398314,72.13315658433255,-0.22179582437857115
20260827T043457543402Z,C02_calendar_retrieval,8,83.63437898429345,72.98146214379322,-0.14596743512086796
20260827T043457543402Z,C02_calendar_retrieval,9,93.97396674103415,73.44464653052647,-0.2795209886669532
20260827T043457543402Z,C02_calendar_retrieval,10,85.98527844729448,73.38466272498346,-0.17170639278582112
20260827T043457543402Z,C02_calendar_retrieval,11,78.39830180779606,72.29489376241072,-0.08442377777666454
20260827T043457543402Z,C02_calendar_retrieval,12,73.18670273232227,71.78026962888498,-0.019593589028137792
20260827T043457543402Z,C02_calendar_retrieval,13,69.65419118319244,71.95015477127568,0.031910474624855745
20260827T043457543402Z,C02_calendar_retrieval,14,64.86315232761952,72.7711440703363,0.10866933375505805
20260827T043457543402Z,C02_calendar_retrieval,15,64.52815319254184,74.14212335220941,0.12966947431484754
20260827T043457543402Z,C02_calendar_retrieval,16,63.771077803603795,75.32475104655654,0.1533848181696834
20260827T043457543402Z,C02_calendar_retrieval,17,65.52425091471464,76.21281222775809,0.14024625257366485
20260827T043457543402Z,C02_calendar_retrieval,18,68.18201923951251,76.67292463242012,0.11074190052895594
20260827T043457543402Z,C02_calendar_retrieval,19,68.59450804659248,76.87074222671528,0.1076642938572605
20260827T043457543402Z,C02_calendar_retrieval,20,80.38296981120087,76.69896888622593,-0.048031948518626466
20260827T043457543402Z,C02_calendar_retrieval,21,89.65228741823138,76.26200644536749,-0.17558259475452442
20260827T043457543402Z,C02_calendar_retrieval,22,78.35039755454204,75.21150580613595,-0.04173419631428277
20260827T043457543402Z,C02_calendar_retrieval,23,70.18070193352806,73.87431844661157,0.0499986543463391
20260827T043457543402Z,C02_calendar_retrieval,24,71.33985624219733,72.21063570541858,0.012058881004365807
20260827T043457543402Z,C03_event_conditioned_retrieval,1,34.98468485416414,75.40792956065759,0.536060928101431
20260827T043457543402Z,C03_event_conditioned_retrieval,2,38.0932155043295,74.25889523301069,0.4870215159436452
20260827T043457543402Z,C03_event_conditioned_retrieval,3,41.30045672988421,73.73175068710107,0.4398552001680671
20260827T043457543402Z,C03_event_conditioned_retrieval,4,41.703498028362006,72.76903870519097,0.4269060197797131
20260827T043457543402Z,C03_event_conditioned_retrieval,5,43.53310380735962,71.8311824012206,0.39395256555570946
20260827T043457543402Z,C03_event_conditioned_retrieval,6,48.627870691549,71.74750530496222,0.3222360765735811
20260827T043457543402Z,C03_event_conditioned_retrieval,7,51.59968161541362,72.13315658433255,0.28466070169704505
20260827T043457543402Z,C03_event_conditioned_retrieval,8,54.23237707899879,72.98146214379322,0.2569020202397928
20260827T043457543402Z,C03_event_conditioned_retrieval,9,57.75299357437208,73.44464653052647,0.2136527806643106
20260827T043457543402Z,C03_event_conditioned_retrieval,10,56.26114125439555,73.38466272498346,0.23333924058164668
20260827T043457543402Z,C03_event_conditioned_retrieval,11,54.726613211414914,72.29489376241072,0.24300859489097593
20260827T043457543402Z,C03_event_conditioned_retrieval,12,57.2425646813902,71.78026962888498,0.2025306539339703
20260827T043457543402Z,C03_event_conditioned_retrieval,13,56.83313808478996,71.95015477127568,0.21010401901902254
20260827T043457543402Z,C03_event_conditioned_retrieval,14,56.38723640635854,72.7711440703363,0.22514291720001056
20260827T043457543402Z,C03_event_conditioned_retrieval,15,58.02870320036204,74.14212335220941,0.21733151713636745
20260827T043457543402Z,C03_event_conditioned_retrieval,16,58.25687979344664,75.32475104655654,0.22659047678180355
20260827T043457543402Z,C03_event_conditioned_retrieval,17,59.76719286299288,76.21281222775809,0.21578549438142136
20260827T043457543402Z,C03_event_conditioned_retrieval,18,61.55856750380481,76.67292463242012,0.19712769795955332
20260827T043457543402Z,C03_event_conditioned_retrieval,19,60.36278435666617,76.87074222671528,0.21474955739808144
20260827T043457543402Z,C03_event_conditioned_retrieval,20,61.96152446803939,76.69896888622593,0.19214657813780822
20260827T043457543402Z,C03_event_conditioned_retrieval,21,64.89512087728829,76.26200644536749,0.14905043937209017
20260827T043457543402Z,C03_event_conditioned_retrieval,22,61.69511357138291,75.21150580613595,0.17971176204865102
20260827T043457543402Z,C03_event_conditioned_retrieval,23,59.63514237992937,73.87431844661157,0.19274866240522748
20260827T043457543402Z,C03_event_conditioned_retrieval,24,58.90100412304806,72.21063570541858,0.18431677622485998
20260827T043457543402Z,M00_persistence,1,7.931643230904867,75.40792956065759,0.8948168544459941
20260827T043457543402Z,M00_persistence,2,16.39353658871686,74.25889523301069,0.7792380759600992
20260827T043457543402Z,M00_persistence,3,25.343522248692,73.73175068710107,0.6562739659303153
20260827T043457543402Z,M00_persistence,4,33.69238287107934,72.76903870519097,0.5369956306887986
20260827T043457543402Z,M00_persistence,5,41.782089102925454,71.8311824012206,0.41832937025110883
20260827T043457543402Z,M00_persistence,6,50.59622232409955,71.74750530496222,0.29480165046797524
20260827T043457543402Z,M00_persistence,7,57.26945108288753,72.13315658433255,0.2060592687922581
20260827T043457543402Z,M00_persistence,8,61.88891837792109,72.98146214379322,0.15199125147721515
20260827T043457543402Z,M00_persistence,9,64.86183004944245,73.44464653052647,0.11686102236895746
20260827T043457543402Z,M00_persistence,10,66.88161753883851,73.38466272498346,0.08861586256130616
20260827T043457543402Z,M00_persistence,11,68.12904241698867,72.29489376241072,0.05762303710013972
20260827T043457543402Z,M00_persistence,12,68.70255986073286,71.78026962888498,0.04287682094347589
20260827T043457543402Z,M00_persistence,13,68.68370837303861,71.95015477127568,0.045398740400501736
20260827T043457543402Z,M00_persistence,14,70.06381796771124,72.7711440703363,0.03720329173344206
20260827T043457543402Z,M00_persistence,15,71.39440242589424,74.14212335220941,0.0370601865994884
20260827T043457543402Z,M00_persistence,16,72.66338512954368,75.32475104655654,0.03533189131110337
20260827T043457543402Z,M00_persistence,17,72.4201624975177,76.21281222775809,0.049763938888729875
20260827T043457543402Z,M00_persistence,18,71.40263804043137,76.67292463242012,0.06873725786847418
20260827T043457543402Z,M00_persistence,19,68.91684333230374,76.87074222671528,0.10347108228710822
20260827T043457543402Z,M00_persistence,20,66.41055367739152,76.69896888622593,0.13414020238128732
20260827T043457543402Z,M00_persistence,21,64.48318072848953,76.26200644536749,0.1544520825755623
20260827T043457543402Z,M00_persistence,22,62.562788407459415,75.21150580613595,0.1681752979561355
20260827T043457543402Z,M00_persistence,23,61.59489610380353,73.87431844661157,0.16622044847266226
20260827T043457543402Z,M00_persistence,24,61.78576289138719,72.21063570541858,0.1443675535077601
20260827T043457543402Z,M01_daily_seasonal,1,65.3218045182561,75.40792956065759,0.13375417016705493
20260827T043457543402Z,M01_daily_seasonal,2,64.06010017010678,74.25889523301069,0.13734105565268617
20260827T043457543402Z,M01_daily_seasonal,3,63.30704239504935,73.73175068710107,0.14138696280645158
20260827T043457543402Z,M01_daily_seasonal,4,62.8116926310628,72.76903870519097,0.13683492665704078
20260827T043457543402Z,M01_daily_seasonal,5,61.68777428524969,71.8311824012206,0.14121176593354468
20260827T043457543402Z,M01_daily_seasonal,6,62.694334076021136,71.74750530496222,0.1261809897147036
20260827T043457543402Z,M01_daily_seasonal,7,62.93958513363722,72.13315658433255,0.1274527815782872
20260827T043457543402Z,M01_daily_seasonal,8,64.21212250682333,72.98146214379322,0.12015845365898425
20260827T043457543402Z,M01_daily_seasonal,9,64.6781722974645,73.44464653052647,0.11936165053797732
20260827T043457543402Z,M01_daily_seasonal,10,65.380487285846,73.38466272498346,0.10907150270805122
20260827T043457543402Z,M01_daily_seasonal,11,65.49782072720598,72.29489376241072,0.09401871531262751
20260827T043457543402Z,M01_daily_seasonal,12,65.73836043241559,71.78026962888498,0.0841722833824251
20260827T043457543402Z,M01_daily_seasonal,13,66.40023656471388,71.95015477127568,0.07713559789001967
20260827T043457543402Z,M01_daily_seasonal,14,67.16565116441454,72.7711440703363,0.07702906114137531
20260827T043457543402Z,M01_daily_seasonal,15,67.72222843685442,74.14212335220941,0.08658903501937099
20260827T043457543402Z,M01_daily_seasonal,16,67.61297742663928,75.32475104655654,0.10238033996489138
20260827T043457543402Z,M01_daily_seasonal,17,67.26876907020745,76.21281222775809,0.1173561622529008
20260827T043457543402Z,M01_daily_seasonal,18,66.33803634023798,76.67292463242012,0.13479188829340905
20260827T043457543402Z,M01_daily_seasonal,19,65.58930161360352,76.87074222671528,0.14675857532166592
20260827T043457543402Z,M01_daily_seasonal,20,64.98740321675292,76.69896888622593,0.15269521663121388
20260827T043457543402Z,M01_daily_seasonal,21,64.60868571026504,76.26200644536749,0.15280637473721137
20260827T043457543402Z,M01_daily_seasonal,22,63.53606063826961,75.21150580613595,0.15523482800571486
20260827T043457543402Z,M01_daily_seasonal,23,62.216361452295864,73.87431844661157,0.1578079803570821
20260827T043457543402Z,M01_daily_seasonal,24,61.78576289138719,72.21063570541858,0.1443675535077601
