run_id,model,target_event_flag,n_origins,n_points,eligible_for_metrics,mse,mae,skill_vs_climatology,event_availability_mode
20260827T043457543402Z,B02_lstm,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,B01_patchtst,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,C06_context_ensemble,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,M07_xgb_cosine,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,C04_xgb_context_event,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,A02_xgb_matched_event_placebo,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,M08_event_timeraf_no_drift,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,A01_xgb_random_retrieval,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,M09_event_timeraf_full,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,M13_trace_raf,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,A04_trace_raw_analogue_fusion,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,A05_trace_residual_ungated,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,A06_trace_residual_constant,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,A03_trace_raf_no_event,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,A00_full_without_events,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,M10_frozen_chronos,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,M11_chronos_event_retrieval,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,P00_chronos_climatology_fusion,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,P01_chronos_persistence_fusion,True,33,792,False,,,,retrospective_event_start
20260827T043457543402Z,M12_validation_drift_router,True,33,792,False,,,,retrospective_event_start
