run_id,subset,comparison,metric,difference,ci_low,ci_high,bootstrap_p_value,block_length,resamples,subset_origins,bootstrap_p_value_holm
20260827T043457543402Z,event_context,M13_minus_C06_trace_residual_gate,mse,-0.016073182803354156,-0.15958259464572289,0.0679698449828394,0.46644120707596254,168,3843,70,1.0
20260827T043457543402Z,event_context,M13_minus_C06_trace_residual_gate,mae,-0.004211438127926417,-0.024485338893201616,0.009107267739726048,0.3059313215400624,168,3843,70,0.6948610277944411
20260827T043457543402Z,event_context,M13_minus_A03_trace_event_conditioning,mse,-0.0016305127797165539,-0.09156270968138636,0.05346596146586711,0.950312174817898,168,3843,70,1.0
20260827T043457543402Z,event_context,M13_minus_A03_trace_event_conditioning,mae,0.0021799711954025983,-0.008057461844550239,0.006232902959541037,0.22372528616024975,168,3843,70,0.6948610277944411
20260827T043457543402Z,drift,M13_minus_C06_trace_residual_gate,mse,-0.23381009808628508,-1.1229859152521038,0.8161432158215972,0.6586682663467307,168,5000,407,1.0
20260827T043457543402Z,drift,M13_minus_C06_trace_residual_gate,mae,-0.03813603565548406,-0.08441010377738305,0.017094212822535936,0.15936812637472506,168,5000,407,0.6948610277944411
20260827T043457543402Z,drift,M13_minus_A03_trace_event_conditioning,mse,-0.013719728953049211,-0.03688089152367597,0.010651390266935115,0.2561487702459508,168,5000,407,1.0
20260827T043457543402Z,drift,M13_minus_A03_trace_event_conditioning,mae,-0.0005536024000291254,-0.0020975364625466786,0.0011888528131634602,0.5300939812037593,168,5000,407,0.6948610277944411
20260827T043457543402Z,non_event,M13_minus_C06_trace_residual_gate,mse,-0.05131101995018868,-0.39448964555054933,0.36031403443598237,0.7940411917616477,168,5000,2427,1.0
20260827T043457543402Z,non_event,M13_minus_C06_trace_residual_gate,mae,-0.021230710858893317,-0.038419350169464454,-0.0043265522634912375,0.015996800639872025,168,5000,2427,0.09598080383923216
20260827T043457543402Z,non_event,M13_minus_A03_trace_event_conditioning,mse,-0.00020715720739195465,-0.006189188429005235,0.008175618439182096,0.9554089182163568,168,5000,2427,1.0
20260827T043457543402Z,non_event,M13_minus_A03_trace_event_conditioning,mae,-0.0002820698004341309,-0.000655351815528178,9.727986425483243e-05,0.13897220555888823,168,5000,2427,0.6948610277944411
