run_id,site_id,subset,model,n_origins,eligible_for_metrics,mse,mae,rmse,mape,smape,r2,skill_vs_site_climatology
20260827T043457543402Z,06-037-1103,all,S_M04_xgb_context,1631,True,68.2813994632942,5.169022149205948,8.263255984374089,237.6932216073292,38.6134267034962,0.24508876374489497,0.2998282257690015
20260827T043457543402Z,06-037-1103,all,S_M08_event_retrieval,1631,True,69.8979949031549,5.253249935313584,8.360502072432904,233.71478471576404,39.15231139625696,0.22721587198195403,0.28325131747131105
20260827T043457543402Z,06-037-1103,event,S_M04_xgb_context,23,False,,,,,,,
20260827T043457543402Z,06-037-1103,event,S_M08_event_retrieval,23,False,,,,,,,
20260827T043457543402Z,06-037-1103,non_event,S_M04_xgb_context,1608,True,68.7524265603571,5.171509561906175,8.291708301692546,236.31820965538094,38.09864917368459,0.2407398040669262,0.298821824763718
20260827T043457543402Z,06-037-1103,non_event,S_M08_event_retrieval,1608,True,70.2884269840248,5.2502479571018945,8.383819355402691,232.01585677067462,38.60559020704301,0.22377714484204203,0.2831567780430182
20260827T043457543402Z,06-037-4009,all,S_M04_xgb_context,1732,True,73.50631990339322,5.278874363064453,8.57358267606916,62.898210553433806,41.077644358551275,0.22964959382301686,0.20238563652962072
20260827T043457543402Z,06-037-4009,all,S_M08_event_retrieval,1732,True,73.09546968117267,5.225912797409938,8.549588860358881,62.116588736392394,40.68826090038066,0.23395532747940806,0.20684375712263625
20260827T043457543402Z,06-037-4009,event,S_M04_xgb_context,33,False,,,,,,,
20260827T043457543402Z,06-037-4009,event,S_M08_event_retrieval,33,False,,,,,,,
20260827T043457543402Z,06-037-4009,non_event,S_M04_xgb_context,1699,True,74.42476665000953,5.297475953098355,8.626978999047669,61.11652680323253,40.62560407999016,0.22624406754007298,0.20223290021750062
20260827T043457543402Z,06-037-4009,non_event,S_M08_event_retrieval,1699,True,73.95306242562319,5.240081184537274,8.599596643193399,60.200056682822215,40.21092454644091,0.2311481331947457,0.2072891486678785
20260827T043457543402Z,06-037-9035,all,S_M04_xgb_context,547,True,17.682127272782324,3.071630143242083,4.2050121608364375,13672.967028190109,49.28937358175087,-0.1863864173591112,-0.048887767908500024
20260827T043457543402Z,06-037-9035,all,S_M08_event_retrieval,547,True,17.371399052619974,3.028783761450679,4.167901036807373,13977.418495205393,48.984284111358136,-0.16553803558899283,-0.030455651441724685
20260827T043457543402Z,06-037-9035,event,S_M04_xgb_context,10,False,,,,,,,
20260827T043457543402Z,06-037-9035,event,S_M08_event_retrieval,10,False,,,,,,,
20260827T043457543402Z,06-037-9035,non_event,S_M04_xgb_context,537,True,17.713384616642227,3.0687710145831772,4.208727196747518,13926.321883473525,49.359704659095414,-0.18325866966576743,-0.044238286381423686
20260827T043457543402Z,06-037-9035,non_event,S_M08_event_retrieval,537,True,17.41000365804936,3.027957558955634,4.1725296473541515,14236.496808733924,49.07837690928898,-0.1629927432358036,-0.026353392038638068
