run_id,architecture,epoch,train_normalized_mse,validation_normalized_mse,selected_epoch
20260827T043457543402Z,dlinear,1,1.2750613935214956,1.7230916040948352,False
20260827T043457543402Z,dlinear,2,1.1932599138342874,1.7107194334306057,False
20260827T043457543402Z,dlinear,3,1.186770620878064,1.706380764673341,False
20260827T043457543402Z,dlinear,4,1.1852672721213569,1.705665042925181,False
20260827T043457543402Z,dlinear,5,1.1847727452669239,1.7069977346306326,False
20260827T043457543402Z,dlinear,6,1.1853301852769667,1.7025136830971677,True
20260827T043457543402Z,dlinear,7,1.184737062237593,1.7090544495192714,False
20260827T043457543402Z,dlinear,8,1.1850926557787853,1.7041243231371515,False
20260827T043457543402Z,dlinear,9,1.1847638567073475,1.7093738430101166,False
20260827T043457543402Z,dlinear,10,1.1849929509974435,1.7065901251558988,False
20260827T043457543402Z,dlinear,11,1.185185420654796,1.7090376604877928,False
20260827T043457543402Z,lstm,1,1.3317851363289883,1.754263245894474,False
20260827T043457543402Z,lstm,2,1.2048430940643715,1.7282874585097692,True
20260827T043457543402Z,lstm,3,1.193938872884167,1.7342374075283795,False
20260827T043457543402Z,lstm,4,1.186465425120978,1.7433533693709464,False
20260827T043457543402Z,lstm,5,1.1814295007343916,1.7351908485544552,False
20260827T043457543402Z,lstm,6,1.1774023781492642,1.7431598007454063,False
20260827T043457543402Z,lstm,7,1.1712824841718792,1.7376654836966556,False
20260827T043457543402Z,patchtst,1,1.3519611825439743,1.860826864452482,False
20260827T043457543402Z,patchtst,2,1.2507581182986773,1.7365135806761447,False
20260827T043457543402Z,patchtst,3,1.2005045274931632,1.7219881612549788,False
20260827T043457543402Z,patchtst,4,1.1869993521661872,1.7167163678235229,True
20260827T043457543402Z,patchtst,5,1.179164393858832,1.7416023519503996,False
20260827T043457543402Z,patchtst,6,1.1725574805564487,1.730859714933911,False
20260827T043457543402Z,patchtst,7,1.164988692523757,1.736941141257496,False
20260827T043457543402Z,patchtst,8,1.1637566846587244,1.738920371907312,False
20260827T043457543402Z,patchtst,9,1.1553967162984955,1.725241020160651,False
