run_id,block_start_fraction,block_end_fraction,fit_origins,predicted_origins,fit_target_end_max,prediction_input_start_min,embargo_passed
20260827T043457543402Z,0.5,0.75,22728,11446,2021-10-18 08:00:00+00:00,2021-10-18 09:00:00+00:00,True
20260827T043457543402Z,0.75,1.0,34154,11446,2023-03-21 02:00:00+00:00,2023-03-21 03:00:00+00:00,True
