run_id,event_weight,subset,n_origins,mse,mae,rmse,mape,smape,r2,selected_candidate_changed_fraction_vs_weight_0
20260827T043457543402Z,0.0,all,2460,54.112493976961154,4.911956864748993,7.356119491753866,74.23248188833269,44.80921455797949,0.2494377130237032,0.0
20260827T043457543402Z,0.0,event_context,70,12.486734223815532,2.9480223266851335,3.5336573438599745,70.55041196442274,48.39454760422367,-0.10854203939738394,
20260827T043457543402Z,0.0,non_event_context,2390,55.33165848855955,4.969477960006094,7.438525289905221,74.34032494049741,44.70420480348698,0.24409558673703247,
20260827T043457543402Z,0.2,all,2460,54.09752536082262,4.909176542587846,7.355101995269856,74.2004414425772,44.761279662801314,0.2496453338139515,0.02698170731707317
20260827T043457543402Z,0.2,event_context,70,11.960694285232789,2.8503138621648154,3.4584236705806863,69.42441915644422,46.70997843081947,-0.061841486965604764,
20260827T043457543402Z,0.2,non_event_context,2390,55.33165848855955,4.969477960006094,7.438525289905221,74.34032494049741,44.70420480348698,0.24409558673703247,
20260827T043457543402Z,0.5,all,2460,54.10294032802185,4.909627222227498,7.3554700956513885,74.2318137355913,44.76574195437201,0.2495702260178354,0.027845528455284554
20260827T043457543402Z,0.5,event_context,70,12.150991703948725,2.866152032358306,3.4858272624943316,70.5269311680827,46.86679610601816,-0.07873563117130722,
20260827T043457543402Z,0.5,non_event_context,2390,55.33165848855955,4.969477960006094,7.438525289905221,74.34032494049741,44.70420480348698,0.24409558673703247,
20260827T043457543402Z,0.8,all,2460,54.14800802765189,4.915299375674392,7.358533007852305,74.43346162710631,44.83130778244933,0.24894511870495706,0.027896341463414635
20260827T043457543402Z,0.8,event_context,70,13.73479943380446,3.0654877106348675,3.7060490328386724,77.61341421275333,49.170966635592436,-0.2193422477131246,
20260827T043457543402Z,0.8,non_event_context,2390,55.33165848855955,4.969477960006094,7.438525289905221,74.34032494049741,44.70420480348698,0.24409558673703247,
20260827T043457543402Z,1.0,all,2460,54.16472963348913,4.917206956191887,7.3596691252724895,74.49753248295873,44.85235315307561,0.24871318323503655,0.028302845528455283
20260827T043457543402Z,1.0,event_context,70,14.322444438941645,3.1325255402496883,3.7845005534339196,79.86504714699504,49.9105610890305,-0.2715119488343365,
20260827T043457543402Z,1.0,non_event_context,2390,55.33165848855955,4.969477960006094,7.438525289905221,74.34032494049741,44.70420480348698,0.24409558673703247,
