run_id,split,component,score_mode,n_origins,zero_fraction,mean,std,p50,p90,p95,max
20260827T043457543402Z,test,drift_mean_shift,two_sided,2460,0.0,0.22132907321503173,0.24173982931984483,0.13178791850805283,0.5800927340984343,0.8250655531883235,1.0
20260827T043457543402Z,test,drift_variance_shift,two_sided,2460,0.0,0.17519508690722757,0.1921772611273114,0.11699024215340614,0.4224211543798446,0.5871796637773473,1.0
20260827T043457543402Z,test,drift_retrieval_similarity_drop,two_sided,2460,0.0,0.18582612950386995,0.11778455968060052,0.1732460930943489,0.35219325721263883,0.3949438005685805,0.5181958675384521
20260827T043457543402Z,test,drift_weather_shift,two_sided,2460,0.0,0.10638429961006732,0.08681103664958716,0.08912293612957001,0.20957582294940943,0.2596937000751494,0.7641950845718384
20260827T043457543402Z,test,drift_event_burst,two_sided,2460,0.9869918699186991,0.013008130081300813,0.1133089521312803,0.0,0.0,0.0,1.0
20260827T043457543402Z,train,drift_mean_shift,two_sided,45784,0.0,0.1553776420843845,0.1711131593606902,0.1124151274561882,0.3418116718530656,0.5041902035474777,1.0
20260827T043457543402Z,train,drift_variance_shift,two_sided,45784,0.0,0.1505209530621304,0.14641743148458874,0.1124151274561882,0.34694496095180527,0.4673312202095984,1.0
20260827T043457543402Z,train,drift_retrieval_similarity_drop,two_sided,45784,0.0038441376900227153,0.13601357835621786,0.1086586779817499,0.1124151237308979,0.27916638255119325,0.3477093145251274,0.7858404517173767
20260827T043457543402Z,train,drift_weather_shift,two_sided,45784,0.0,0.1383213880999823,0.1192877108979965,0.1124151274561882,0.2875448316335678,0.3848665669560431,1.0
20260827T043457543402Z,train,drift_event_burst,two_sided,45784,0.9427966101694916,0.057203389830508475,0.2322308377937938,0.0,0.0,1.0,1.0
20260827T043457543402Z,validation,drift_mean_shift,two_sided,7950,0.0,0.16650585445709049,0.19747804011083478,0.11208032071590424,0.35546610653400434,0.5932115077972411,1.0
20260827T043457543402Z,validation,drift_variance_shift,two_sided,7950,0.0,0.15955547815835502,0.15635761033164003,0.11861319094896317,0.3545628726482393,0.45590400993824,1.0
20260827T043457543402Z,validation,drift_retrieval_similarity_drop,two_sided,7950,0.0,0.13375307851149926,0.0882442945736937,0.12308330833911896,0.25723928213119507,0.2937138959765434,0.4872347414493561
20260827T043457543402Z,validation,drift_weather_shift,two_sided,7950,0.0,0.12660662001774292,0.11095532413363422,0.10379582270979881,0.24516948461532595,0.32973809987306585,1.0
20260827T043457543402Z,validation,drift_event_burst,two_sided,7950,0.9783647798742139,0.021635220125786163,0.14548930330403997,0.0,0.0,0.0,1.0
