run_id,model,quantile,empirical_cdf,calibration_error,pinball_loss,n_points
20260827T043457543402Z,M10_frozen_chronos,0.1,0.12240853658536585,0.022408536585365846,0.7641779992425674,59040
20260827T043457543402Z,M10_frozen_chronos,0.2,0.2296070460704607,0.02960704607046069,1.293280253152396,59040
20260827T043457543402Z,M10_frozen_chronos,0.3,0.3277269647696477,0.0277269647696477,1.683468483639288,59040
20260827T043457543402Z,M10_frozen_chronos,0.4,0.4199186991869919,0.01991869918699185,1.94975149458408,59040
20260827T043457543402Z,M10_frozen_chronos,0.5,0.5122628726287263,0.012262872628726273,2.1009323942185403,59040
20260827T043457543402Z,M10_frozen_chronos,0.6,0.6030657181571816,0.003065718157181596,2.1342175506596988,59040
20260827T043457543402Z,M10_frozen_chronos,0.7,0.6935467479674797,-0.006453252032520229,2.0322298686558047,59040
20260827T043457543402Z,M10_frozen_chronos,0.8,0.7849085365853659,-0.015091463414634188,1.7592266623445894,59040
20260827T043457543402Z,M10_frozen_chronos,0.9,0.8832825203252033,-0.016717479674796754,1.2239794264641037,59040
20260827T043457543402Z,M11_chronos_event_retrieval,0.1,0.4560128726287263,0.3560128726287263,1.7283717317135276,59040
20260827T043457543402Z,M11_chronos_event_retrieval,0.2,0.4838922764227642,0.2838922764227642,1.9718462641774437,59040
20260827T043457543402Z,M11_chronos_event_retrieval,0.3,0.5055047425474255,0.2055047425474255,2.1300966304038758,59040
20260827T043457543402Z,M11_chronos_event_retrieval,0.4,0.5251863143631437,0.12518631436314365,2.23257494242824,59040
20260827T043457543402Z,M11_chronos_event_retrieval,0.5,0.5445460704607046,0.04454607046070458,2.2868217123026877,59040
20260827T043457543402Z,M11_chronos_event_retrieval,0.6,0.5651930894308943,-0.034806910569105676,2.292018550244945,59040
20260827T043457543402Z,M11_chronos_event_retrieval,0.7,0.5890752032520326,-0.1109247967479674,2.239907538220728,59040
20260827T043457543402Z,M11_chronos_event_retrieval,0.8,0.6170392953929539,-0.18296070460704617,2.1082984855084814,59040
20260827T043457543402Z,M11_chronos_event_retrieval,0.9,0.661890243902439,-0.23810975609756102,1.8289281601063163,59040
